Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
"Weekend Ending February 1, 2026"
China,Jan 30-Feb 1,10,Zootopia 2,Walt Disney Studios Motion Pictures,"$4,186,319"
Germany,Jan 29-Feb 1,35,The Housemaid,Leonine Studios,"$3,045,105"
Russia/CIS,Jan 29-Feb 1,104,The Housemaid,Kinotime,"$2,660,899"
Italy,Jan 29-Feb 1,24,The Things Left Unspoken,01 Distribution,"$2,581,918"
Middle East,Jan 29-Feb 1,1,Shelter,Black Bear,"$2,300,000"
Japan,Jan 31-Feb 1,15,Zootopia 2,Walt Disney Pictures,"$2,286,524"
United Kingdom,Jan 30-Feb 1,63,Hamnet,Universal Pictures International (UPI),"$1,933,654"
Spain,Jan 30-Feb 1,55,Aida: The Movie,Sony Pictures Releasing,"$1,846,925"
South Korea,Jan 30-Feb 1,46,Once We Were Us,-,"$1,225,443"
Australia,Jan 29-Feb 1,148,Iron Lung,Markiplier,"$1,167,250"
Croatia,Jan 29-Feb 1,27,Svadba,-,"$1,153,676"
Mexico,Jan 30-Feb 1,16,Send Help,Walt Disney Pictures,"$1,095,646"
Saudi Arabia,Jan 29-Feb 1,3,Shelter,Black Bear,"$928,000"
Hong Kong,Jan 29-Feb 1,20,Back to the Past,-,"$791,524"
Brazil,Jan 29-Feb 1,14,Zootopia 2,Walt Disney Pictures,"$724,831"
United Arab Emirates,Jan 29-Feb 1,43,Shelter,Black Bear,"$689,817"
Netherlands,Jan 29-Feb 1,15,Avatar: Fire and Ash,Walt Disney Pictures,"$629,125"
Colombia,Jan 29-Feb 1,59,The Housemaid,Century Creator Co. Ltd.,"$446,530"
Poland,Jan 30-Feb 1,20,Avatar: Fire and Ash,Walt Disney Pictures,"$430,324"
Czech Republic,Jan 29-Feb 1,23,Zootopia 2,Falcon,"$426,508"
Türkiye,Jan 30-Feb 1,44,Mutluyuz Mu?,CGV Mars Dagitim,"$397,545"
Vietnam,Jan 30-Feb 1,22,Nobody 2,Universal Pictures International (UPI),"$384,916"
Austria,Jan 29-Feb 1,14,Avatar: Fire and Ash,Walt Disney Pictures,"$357,298"
Portugal,Jan 29-Feb 1,43,The Housemaid,Pris Audiovisuais,"$342,011"
Norway,Jan 30-Feb 1,26,The Housemaid,Nordisk Film,"$311,084"
Argentina,Jan 29-Feb 1,13,Avatar: Fire and Ash,Walt Disney Pictures,"$295,236"
